
12-02-2018 19:34:16:900 - I: 	Loaded bot ..\Sample Bots\Python3
12-02-2018 19:34:16:908 - I: 	Loaded bot ..\Reference Bots\Python
12-02-2018 19:34:16:908 - I: 	Registered player lubangJarum
12-02-2018 19:34:16:908 - I: 	Registered player py3Bot
12-02-2018 19:34:16:952 - I: 		OK!
12-02-2018 19:34:18:612 - I: 	Added Command PlaceShipCommand for Player lubangJarum
12-02-2018 19:34:19:099 - I: 	Added Command PlaceShipCommand for Player py3Bot
12-02-2018 19:34:19:107 - D: 	Beginning round processing
12-02-2018 19:34:19:117 - D: 	Processing Player Commands
12-02-2018 19:34:19:137 - D: 	Killing off players who have no ships left
12-02-2018 19:34:19:137 - D: 	Round processing complete
